Katwijk,64956
Kerkrade,45823
Kerkwijk,
Kessel,
Kesteren,
Klundert,
Koggenland,22659
Kollumerland en Nieuwkruisland,12827
Korendijk,11097
Krimpen aan den IJssel,29306
Krimpenerwaard,55644
Laarbeek,22158
Landerd,15332
Landgraaf,37612
Landsmeer,11435
Langbroek,
Langedijk,27836
Lansingerland,61155
Laren (NH.),11146
Leek,19669
Leende,
Leerdam,21030
Leersum,
Leeuwarden,122415
Leeuwarderadeel,
Leiden,124306
Leiderdorp,27197
Leidschendam,
Leidschendam-Voorburg,74947
Lelystad,77389
Lemsterland,
Leudal,35857
Leusden,29755
Lichtenvoorde,
Liemeer,
Liempde,
Lienden,
De Lier,
Lieshout,
Liesveld,
Limmen,
Lingewaal,11134
Lingewaard,46372
Lisse,22746
Lith,
Littenseradiel,
Lochem,33574
Loenen,
Loon op Zand,23120
Loosdrecht,
Lopik,14395
Loppersum,9732
Losser,22547
Luyksgestel,
Maarheeze,
Maarn,
Maarssen,
Maartensdijk,
Maasbracht,
Maasbree,
Maasdonk,
Maasdriel,24350
Maasgouw,23697
Maasland,
Maassluis,32518
Maastricht,122723
Made,
Made en Drimmelen,
Margraten,
Mariekerke,
Markelo,
De Marne,10058
Marum,10488
Maurik,
Medemblik,44480
Meerlo-Wanssum,
Meerssen,19039
Meierijstad,80148
Meijel,
Menaldumadeel,
Menameradiel,
Menterwolde,
Meppel,33410
Middelburg (Z.),48303
Middelharnis,
Midden-Delfland,19338
Midden-Drenthe,33172
Midden-Groningen,60953
Middenschouwen,
Middenveld,
Mierlo,
Mill en Sint Hubert,10831
Millingen aan de Rijn,
Moerdijk,36967
Moergestel,
Molenwaard,29295
Monster,
Montferland,35627
Montfoort,13879
Mook en Middelaar,7768
Moordrecht,
Muiden,
Naaldwijk,
Naarden,
Neder-Betuwe,23615
Nederhorst den Berg,
Nederlek,
Nederweert,17038
Neede,
Neerijnen,12397
Niedorp,
Nieuwegein,62426
Nieuwerkerk aan den IJssel,
Nieuw-Ginneken,
